Nr mat Nume student                                An Grupa Tip  Data     Ora intrare  Ora iesire
6913 Mihaela-76                                     1 1001  B  27.7.2008  19:28       20:23
5817 Ciprian-66                                     1 1001  L  17.3.2008  12:53       13:45
4697 Petre-79                                       1 1002  B  29.5.2008  12:55       14:18
9042 Gabriel-35                                     1 1002  L  17.10.2011  15:48       16:27
3394 Ruxandra-29                                    1 1003  B  19.12.2007  16:45       17:23
3164 Laurentiu-96                                   1 1004  B  6.5.2008  8:8       9:22
6330 Suzana-55                                      1 1005  B  6.10.2010  19:58       21:0
6796 Ancuta-86                                      1 1007  L  18.5.2011  12:29       13:28
3725 Bogdan-99                                      1 1007  B  21.9.2009  19:40       21:0
5856 Tiberiu-30                                     1 1008  B  29.11.2009  9:57       10:40
6884 Andreea-77                                     1 1012  L  5.11.2006  11:59       13:13
4925 Laurentiu-93                                   1 1012  B  6.12.2007  12:54       13:29
6656 Cristian-7                                     1 1012  L  19.12.2005  19:13       21:0
7089 Mihai-61                                       1 1012  B  20.5.2010  9:51       11:5
1315 Andreea-57                                     1 1013  L  23.6.2008  18:58       20:33
9149 Ancuta-24                                      1 1014  B  20.1.2009  10:44       11:36
3852 Elena-52                                       1 1014  L  13.12.2011  10:12       11:19
2622 Florin-23                                      1 1014  B  9.5.2008  18:38       19:9
6831 Loredana-94                                    1 1015  B  18.2.2011  8:42       10:24
2209 Ciprian-74                                     1 1016  L  22.1.2011  20:1       21:0
2463 Bogdana-95                                     1 1018  L  8.3.2008  15:2       16:16
1109 Cristian-20                                    1 1018  L  17.11.2005  7:57       9:25
6673 Eliza-25                                       1 1019  L  19.6.2005  20:3       21:0
7351 Teodor-99                                      1 1019  L  28.3.2011  9:51       11:43
5359 Adina-87                                       1 1019  B  14.11.2009  9:21       10:53
5797 Tudor-45                                       2 1021  B  3.5.2009  11:41       12:20
4585 Robert-88                                      2 1021  L  31.9.2011  12:39       13:19
4600 Tudor-81                                       2 1021  L  7.3.2011  9:57       10:28
9812 Florin-34                                      2 1021  L  7.9.2007  18:11       20:4
3952 Maria-51                                       2 1023  L  2.6.2008  13:0       13:41
8403 Teodor-31                                      2 1023  L  15.11.2009  14:8       14:51
2065 Ioana-25                                       2 1025  B  17.2.2005  7:52       9:0
3751 Bianca-27                                      2 1026  L  27.5.2010  16:14       16:50
3811 Eliza-35                                       2 1026  L  12.6.2006  16:3       17:42
4404 Nicolae-33                                     2 1026  L  1.4.2011  19:36       21:0
8698 Marinela-81                                    2 1027  L  1.2.2007  19:26       21:0
8714 Florin-50                                      2 1027  B  18.5.2006  11:40       13:12
2913 Tiberiu-73                                     2 1028  B  23.12.2005  12:30       13:5
6209 Liviu-45                                       2 1028  L  6.2.2011  11:26       12:50
5186 Estera-5                                       2 1028  L  21.12.2005  17:39       19:0
8146 Dalia-42                                       2 1030  L  27.4.2007  11:58       13:20
9200 Elena-87                                       2 1030  L  10.2.2006  11:52       13:47
7107 Bogdana-53                                     2 1031  B  7.10.2005  8:18       10:11
8864 Ionut-40                                       2 1031  L  22.8.2010  14:27       15:53
9157 Alexandru-80                                   2 1031  L  10.11.2011  13:4       13:57
5025 Mihaela-50                                     2 1031  L  4.10.2010  9:17       9:57
6933 Adina-95                                       2 1034  L  25.7.2008  7:47       9:13
2758 Alin-89                                        2 1034  B  19.12.2007  8:46       9:33
6903 Doina-92                                       2 1034  B  28.5.2007  11:44       13:1
